126,借东西的小人阿莉埃蒂,米林宏昌,2010
127,萤火之森,大森贵弘,2011
128,唐伯虎点秋香,李力持,1993
129,超能陆战队,唐·霍尔,2014
130,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,2012
131,怪兽电力公司,彼特·道格特,2001
132,岁月神偷,罗启锐,2010
133,电锯惊魂,詹姆斯·温,2004
134,七武士,黑泽明,1954
135,谍影重重3,保罗·格林格拉斯,2007
136,真爱至上,理查德·柯蒂斯,2003
137,疯狂原始人,科克·德·米科,2013
138,无人知晓,是枝裕和,2004
139,喜宴,李安,1993
140,萤火虫之墓,高畑勋,1988
141,东邪西毒,王家卫,1994
142,英雄本色,吴宇森,1986
143,贫民窟的百万富翁,丹尼·鲍尔,2008
144,黑天鹅,达伦·阿罗诺夫斯基,2010
145,记忆碎片,克里斯托弗·诺兰,2000
146,血战钢锯岭,梅尔·吉布森,2016
147,心迷宫,忻钰坤,2014
148,傲慢与偏见,乔·怀特,2005
149,时空恋旅人,理查德·柯蒂斯,2013
150,荒蛮故事,达米安·斯兹弗隆,2014
151,雨人,巴瑞·莱文森,1988
152,纵横四海,吴宇森,1991
153,教父3,弗朗西斯·福特·科波拉,1990
154,达拉斯买家俱乐部,让-马克·瓦雷,2013
155,玩具总动员3,李·昂克里奇,2010
156,卢旺达饭店,特瑞·乔治,2004
157,完美的世界,克林特·伊斯特伍德,1993
158,花样年华,王家卫,2000
159,海边的曼彻斯特,肯尼斯·罗纳根,2016
160,海洋,雅克·贝汉,2009
161,恋恋笔记本,尼克·卡索维茨,2004
162,虎口脱险,杰拉尔·乌里,1966
163,你看起来好像很好吃,藤森雅也,2010
164,二十二,郭柯,2015
165,被解救的姜戈,昆汀·塔伦蒂诺,2012
166,头脑特工队,彼特·道格特,2015
167,无敌破坏王,瑞奇·莫尔,2012
168,冰川时代,卡洛斯·沙尔丹哈,2002
169,燃情岁月,爱德华·兹威克,1994
170,你的名字。,新海诚,2016
171,雨中曲,斯坦利·多南,1952
172,我是山姆,杰茜·尼尔森,2001
173,三块广告牌,马丁·麦克唐纳,2017
174,爆裂鼓手,达米恩·查泽雷,2014
175,人工智能,史蒂文·斯皮尔伯格,2001
176,未麻的部屋,今敏,1997
177,穿越时空的少女,细田守,2006
178,魂断蓝桥,茂文·勒鲁瓦,1940
179,猜火车,丹尼·博伊尔,1996
180,模仿游戏,莫滕·泰杜姆,2014
181,一个叫欧维的男人决定去死,汉内斯·赫尔姆,2015
182,房间,伦尼·阿伯拉罕森,2015
183,忠犬八公物语,Seijirô,1987
184,完美陌生人,保罗·格诺维瑟,2016
185,罗生门,黑泽明,1950
186,恐怖游轮,克里斯托弗·史密斯,2009
187,魔女宅急便,宫崎骏,1989
188,阿飞正传,王家卫,1990
189,香水,汤姆·提克威,2006
190,哪吒闹海,严定宪,1979
191,浪潮,丹尼斯·甘塞尔,2008
192,朗读者,史蒂芬·戴德利,2008
193,黑客帝国3：矩阵革命,Andy,2003
194,海街日记,是枝裕和,2015
195,可可西里,陆川,2004
196,谍影重重2,保罗·格林格拉斯,2004
197,谍影重重,道格·里曼,2002
198,战争之王,安德鲁·尼科尔,2005
199,牯岭街少年杀人事件,杨德昌,1991
200,地球上的星星,阿米尔·汗,2007
201,青蛇,徐克,1993
202,一次别离,阿斯哈·法哈蒂,2011
203,惊魂记,Alfred,1960
204,疯狂的石头,宁浩,2006
205,追随,克里斯托弗·诺兰,1998
206,终结者2：审判日,詹姆斯·卡梅隆,1991
207,源代码,邓肯·琼斯,2011
208,小萝莉的猴神大叔,卡比尔·汗,2015
209,步履不停,是枝裕和,2008
210,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,2010
211,再次出发之纽约遇见你,约翰·卡尼,2013
212,新龙门客栈,李惠民,1992
213,撞车,保罗·哈吉斯,2004
214,天书奇谭,王树忱,1983(中国大陆)
215,梦之安魂曲,达伦·阿伦诺夫斯基,2000
216,爱在午夜降临前,理查德·林克莱特,2013
